edited,name,uuid,gender,first_name,last_name,party,parliament,education,questions_get,answers_give,url_profile
2015-05-12 10:00,stefan-dr-heck,91be7e3e-8534-4faf-a743-8b8b0e8d5158,male,Stefan Dr.,Heck,CDU,Bundestag,Rechtsanwalt,0,0,https://www.abgeordnetenwatch.de/profile/stefan-dr-heck
2015-05-12 00:00,katja-leikert,91f4691f-14b7-4092-a1f1-44d203641d67,female,Katja,Leikert,CDU,Bundestag,Wissenschaftliche Mitarbeiterin,0,0,https://www.abgeordnetenwatch.de/profile/katja-leikert
2015-05-17 01:08,elke-ferner,92257c1b-f719-409f-873b-633b196a0565,female,Elke,Ferner,SPD,Bundestag,Programmiererin,0,0,https://www.abgeordnetenwatch.de/profile/elke-ferner
2015-05-22 01:09,thomas-gebhart,92c64279-3861-446d-b2e8-0a5c6c5f1646,male,Thomas,Gebhart,CDU,Bundestag,"Politikwissenschaftler, Betriebswirt (M. A.)",0,0,https://www.abgeordnetenwatch.de/profile/thomas-gebhart
2015-05-12 10:00,dr-andre-hahn,93162637-7194-4f73-a62b-0cdb32a03ab1,male,André,Hahn,DIE LINKE,Bundestag,Dipl.-Lehrer,0,0,https://www.abgeordnetenwatch.de/profile/dr-andre-hahn
2015-05-22 01:09,dr-anton-hofreiter,9392858c-414a-48c5-bd56-f22d004f69c1,male,Anton,Hofreiter,DIE GRÜNEN,Bundestag,Biologe,0,0,https://www.abgeordnetenwatch.de/profile/dr-anton-hofreiter
2015-05-12 09:00,susanna-karawanskij,93c6ef4e-21f8-4ab9-960b-ba4b18367acb,female,Susanna,Karawanskij,DIE LINKE,Bundestag,Politikwissenschaftlerin,0,0,https://www.abgeordnetenwatch.de/profile/susanna-karawanskij
2015-05-12 09:00,ralph-lenkert,9464c1f5-3c00-444f-88a1-f042ea4c9c88,male,Ralph,Lenkert,DIE LINKE,Bundestag,"Werkzeugmacher, Staatlich geprüfter Techniker für Maschinenbau",0,0,https://www.abgeordnetenwatch.de/profile/ralph-lenkert
2015-05-23 01:08,rudiger-veit,94fc726c-fea1-453b-a620-5cae35dd8ed1,male,Rüdiger,Veit,SPD,Bundestag,"Rechtsanwalt, MdB",0,0,https://www.abgeordnetenwatch.de/profile/rudiger-veit
2015-05-12 02:00,kerstin-radomski,952e9d2d-f7b7-4fdc-9cfc-5d5ffa3432be,female,Kerstin,Radomski,CDU,Bundestag,Studienrätin,0,0,https://www.abgeordnetenwatch.de/profile/kerstin-radomski
2015-05-12 02:00,helmut-nowak,95f5ab8a-561b-482c-b796-86c6b1d9f2a7,male,Helmut,Nowak,CDU,Bundestag,Kaufmann,0,0,https://www.abgeordnetenwatch.de/profile/helmut-nowak
2015-05-12 00:00,hans-joachim-fuchtel,960f560b-1dea-4a30-b6d1-46713252c01d,male,Hans-Joachim,Fuchtel,CDU,Bundestag,Jurist,0,0,https://www.abgeordnetenwatch.de/profile/hans-joachim-fuchtel
2015-05-12 09:00,monika-lazar,962645ec-4650-467e-8fed-f231a022269b,female,Monika,Lazar,DIE GRÜNEN,Bundestag,"Bäckerin, Betriebswirtin",0,0,https://www.abgeordnetenwatch.de/profile/monika-lazar
2015-05-26 01:08,gernot-erler,96ca1588-29fa-4216-bc40-1b191a3c9626,male,Gernot,Erler,SPD,Bundestag,Verlagsleiter,0,0,https://www.abgeordnetenwatch.de/profile/gernot-erler
2015-05-12 01:00,andreas-scheuer,9720055c-9b87-4e97-b901-e85a2ec92f59,male,Andreas,Scheuer,CSU,Bundestag,Politologe,0,0,https://www.abgeordnetenwatch.de/profile/andreas-scheuer
2015-05-11 23:01,barbara-lanzinger,981c0274-f3e5-46a4-8ad9-3efd275f1f1b,female,Barbara,Lanzinger,CSU,Bundestag,Dipl. -Sozialpädagogin (FH) / Angestellte,0,0,https://www.abgeordnetenwatch.de/profile/barbara-lanzinger
2015-05-20 01:08,dr-andreas-nick,9852438f-e488-4bcc-9311-0e5f28da9334,male,Andreas,Nick,CDU,Bundestag,"Dipl-Kfm.,  Master of International Public Policy",0,0,https://www.abgeordnetenwatch.de/profile/dr-andreas-nick
2015-05-12 01:00,marianne-schieder,98b885fd-1d04-4239-aa48-677f85eccbd5,female,Marianne,Schieder,SPD,Bundestag,Juristin,0,0,https://www.abgeordnetenwatch.de/profile/marianne-schieder
2015-05-14 01:08,steffen-kanitz,98eaedc7-d90a-41de-8f44-c46343fecdb7,male,Steffen,Kanitz,CDU,Bundestag,Diplom-Kaufmann,0,0,https://www.abgeordnetenwatch.de/profile/steffen-kanitz
2015-05-15 01:08,klaus-barthel,9916e0ba-649b-4894-b0e6-cce3cfe79791,male,Klaus,Barthel,SPD,Bundestag,Studium der Politischen Wissenschaft mit den Nebenfächern Soziologie und Geschichte,0,0,https://www.abgeordnetenwatch.de/profile/klaus-barthel
2015-05-28 12:11,edelgard-bulmahn,99689982-dc22-4e1b-a432-ba76a4a669de,female,Edelgard,Bulmahn,SPD,Bundestag,Studium der Politischen Wissenschaften und Anglistik,0,0,https://www.abgeordnetenwatch.de/profile/edelgard-bulmahn
2015-05-22 01:08,anja-weisgerber,99cc8726-d4aa-463b-887a-a0fa5c2455db,female,Anja,Weisgerber,CSU,Bundestag,Rechtsanwältin,0,0,https://www.abgeordnetenwatch.de/profile/anja-weisgerber
2015-05-15 01:08,ulla-schmidt,9a2db73e-3b9a-4d36-9aab-02bee5c2ac24,female,Ulla,Schmidt,SPD,Bundestag,Lehrerin,0,0,https://www.abgeordnetenwatch.de/profile/ulla-schmidt
2015-05-12 00:00,jurgen-hardt,9ab19754-2b1d-4b34-afa8-db19dcb6391d,male,Jürgen,Hardt,CDU,Bundestag,Leitender Angestellter,0,0,https://www.abgeordnetenwatch.de/profile/jurgen-hardt
2015-05-12 01:00,bernhard-schulte-druggelte,9af9a9b7-6a37-479a-9265-23024271737b,male,Bernhard,Schulte-Drüggelte,CDU,Bundestag,"Diplomagraringenieur, Selbstständiger Land- und Forstwirt",0,0,https://www.abgeordnetenwatch.de/profile/bernhard-schulte-druggelte
2015-05-12 01:00,susann-ruthrich,9b0c6902-36dc-4101-8000-530751966ab9,female,Susann,Rüthrich,SPD,Bundestag,Politikwissenschaftlerin,0,0,https://www.abgeordnetenwatch.de/profile/susann-ruthrich
2015-05-12 00:00,volkmar-vogel,9b9dcd0a-7d51-4ccc-bb72-2a3cf6b7158e,male,Volkmar,Vogel,CDU,Bundestag,Diplom-Ingenieur (FH),0,0,https://www.abgeordnetenwatch.de/profile/volkmar-vogel
