uuid,date,title,vote
02da6707-6255-4c8b-8e80-818c2d732943,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
02da6707-6255-4c8b-8e80-818c2d732943,18.12.2014,"Bundesdatenschutzgesetz","JA"
02da6707-6255-4c8b-8e80-818c2d732943,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,28.11.2014,"Bundeshaushaltsplan 2015","JA"
02da6707-6255-4c8b-8e80-818c2d732943,13.11.2014,"BAföG-Reform","JA"
02da6707-6255-4c8b-8e80-818c2d732943,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
02da6707-6255-4c8b-8e80-818c2d732943,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
02da6707-6255-4c8b-8e80-818c2d732943,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","JA"
02da6707-6255-4c8b-8e80-818c2d732943,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
02da6707-6255-4c8b-8e80-818c2d732943,27.06.2014,"Länderöffnungsklausel zur Vorgabe von Mindestabständen zwischen Windenergieanlagen","nicht beteiligt"
02da6707-6255-4c8b-8e80-818c2d732943,27.06.2014,"Novelle des EEG","nicht beteiligt"
02da6707-6255-4c8b-8e80-818c2d732943,25.06.2014,"Fortsetzung des Libanon-Einsatzes (UNFIL)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,25.06.2014,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,05.06.2014,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,23.05.2014,"Rentenpaket","JA"
02da6707-6255-4c8b-8e80-818c2d732943,22.05.2014,"Änderungsantrag Gesetz zur Sukzessivadoption durch Lebenspartner","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,22.05.2014,"Nationale Ausnahmeregelungen beim Anbau von Gentechnik","JA"
02da6707-6255-4c8b-8e80-818c2d732943,22.05.2014,"Verlängerung des Bundeswehreinsatzes gegen Piraterie (Operation Atalanta)","JA"
02da6707-6255-4c8b-8e80-818c2d732943,08.05.2014,"Kündigung der bilateralen Kooperationen im Bereich der Nutzung atomarer Technologien","NEIN"
02da6707-6255-4c8b-8e80-818c2d732943,08.05.2014,"Mindestlohn in der Fleischwirtschaft","JA"
02da6707-6255-4c8b-8e80-818c2d732943,08.05.2014,"Transparenz bei Rüstungsexportentscheidungen","NEIN"
